Username,Comments,Likes,Date,Hour,Sub Comments
@_.cristian._2005,Yoooooo,2,5/31/2024,10 PM,0
@_.cristian._2005,Awesome🔥🔥🔥💙,0,6/1/2024,8 PM,0
@_.s.h.a.r.a.n,Will it be free though,0,5/31/2024,9 AM,0
@_angelvaldez_31,"In short words, nothing interesting",102,5/31/2024,2 AM,12
@_avci_oglu_,Well Done👏,0,21/06/2024,2 AM,0
@_c.castillo_,So when are we seeing something that is worth getting excited for?,4,5/31/2024,2 AM,0
@_dinkstagram_,@crackkennedy Actual xbot NPC lmao,0,5/31/2024,5 PM,0
@_gccz,Didn't like it,0,21/06/2024,12 PM,0
@_geghart_,@jacksonpoole13 oh jack you gay little thing. For the past 4 years since 2020 our expectations have been lower then every gaming consoles exclusives and deals. Let alone offbrand indie games for almost 2 years now being displayed like it's ps3 days,0,02/06/2024,4 PM,0
@_karibay_,"@crackkennedy while you play gta 4 on your Xbox, we will be playing gta 6 next year",0,5/31/2024,8 AM,0
@_kritikosss,Yeah ngl as someone who has had both Xbox and ps consoles through all the new generation phill spencers long term strategy of buying studios is actually starting to pay off while the damage that Jim Ryan did to PlayStation is only now starting to show Xbox has 3 huge exclusives this year while Sony has nothing we REALLY need a September ps showcase with amazing games,0,5/31/2024,6 AM,0
@_matness,PSVR2 Support for Astrobot please!,0,5/31/2024,9 AM,0
@_misak_cz,What is the price of astro bot?,0,02/06/2024,11 AM,0
@_mxhdsxdiq_,will astro bot be free,0,6/1/2024,8 AM,0
@_pg_eme_,No Wolverine ?,5,5/31/2024,3 AM,0
@_ssj03agg,A new play room let's go,0,5/31/2024,6 AM,0
@08c0nant,Why not wait till you have more to show before blowing your load on a little ass showcase?,0,5/31/2024,4 AM,0
@0mr4an,trash after trash 4 years ago they didnt make any enthusiastic games,0,5/31/2024,8 AM,0
@1_lucky_jd,How come I can't play Astro Bot on PS4 pro? And got a ps4 pro game console because it would have advantages etc. But seems pc would have been a better choice?,0,5/31/2024,10 AM,0
@1madpanda,@overqualifications yeah man xbox lost. Go ahead and enjoy your state of play games. Can't talk too busy enjoying my game pass,0,03/06/2024,5 AM,0
@236451o,I love you 💙,0,6/1/2024,4 AM,0
