Username,Comments,Likes,SubComments,Date,Hour
@lyikfromtheekingdom,WHERE IS SPARKING ZERO,0,0,9/6/2024,1 AM
@mr.rogersneighborrhood,Where's Jet Set Radio?,2,0,9/6/2024,1 AM
@sweetbabydaeds,The day has come where Xbox absolutely wipes PlayStation I can't help but look at my console and think disappointment like their not even trying anymore,0,0,9/6/2024,1 AM
@brayden_fwm,STATE OF DECAY 3!!!,4,0,9/6/2024,1 PM
@maxwellgassner,another add on for 76????,3,0,9/6/2024,1 PM
@yvngyodakk._,Throw Elden ring on game pass!!!,3,0,9/6/2024,1 PM
@the_helldiver_guy,I wait for Indy to have a new game,0,0,9/6/2024,10 AM
@thenewdead,Absolute banger! Don't know how anyone could doubt Xboxes future after that show,1,1,9/6/2024,10 AM
@wagmi._.papi,Fable was so ahead of its time,2,0,9/6/2024,10 AM
@p.john6565,A 3rd state of decay?,0,0,9/6/2024,10 PM
@tommy_4k2,Is fable coming out 2024 thought it wasn't getting released until 2025??,2,0,9/6/2024,10 PM
@yasei974,Stay of decay 3,6,1,9/6/2024,10 PM
@ybnred.3x,Doom should be an Xbox only game!!,14,0,9/6/2024,10 PM
@mg_lilmayo,State of decay finally,2,1,9/6/2024,11 AM
@stav_siso_8,What if Xbox was called FreakBox,1,0,9/6/2024,11 AM
@steven_is_insane,RIP AND TEAR UNTIL IT IS DONE!,10,1,9/6/2024,11 AM
@mythical_dagger,FINALLY! After 10+ years a continuation to max Caufield (life is strange) never thought I see it again,2,0,9/6/2024,11 PM
@triqqei,Oh no are they gonna screw perfect dark AGAIN?,1,0,9/6/2024,11 PM
@mm.54.d,"The best game console in history. I enjoyed watching, thank you ",10,2,9/6/2024,12 AM
@mollysosaaa,They gonna make u pay for xbox live and the WOW sub lmaoo,1,0,9/6/2024,12 AM
@nick_____piano,can't wait for life is strange,2,0,9/6/2024,12 AM
@notgrahamstevens,New age of mythology holy,5,1,9/6/2024,12 AM
@pepinjack,Perfect Dark? I got some googling to do,1,0,9/6/2024,12 AM
@pna_miguel_ecfm,Expedition 33 looks fire tbh,129,3,9/6/2024,12 AM
@salut.moicestquentin,"Hold up, wow on Xbox?",3,0,9/6/2024,12 AM
@trintonto,Looks like I'll be staying on pc,0,0,9/6/2024,12 AM
@xrayz_vt,Now give us release dates lmao,1,0,9/6/2024,12 AM
@xxbatmanb3y0ndxx,metal gear,65,1,9/6/2024,12 AM
@marcushauser23,eveeybody was cooking this year. ESPECIALLY the coalition,1,0,9/6/2024,12 PM
@nintyfaux,NEW DOOM!!!!,4,1,9/6/2024,2 AM
@raphael.rofa,Expedition 33 looks amazing,3,1,9/6/2024,2 AM
@spaghettiman456,Snake eaterrrr ,57,1,9/6/2024,2 AM
@stephensalazar2355,Holy shii Fable massive W,2,0,9/6/2024,2 AM
@tyenotafraid,Doom the dark age,0,0,9/6/2024,2 AM
@ben.guzik,Sea of Thieves been out since 2018???,3,4,9/6/2024,2 PM
@benedikt.goetz,state of decay 3!!!! yeeees,4,0,9/6/2024,2 PM
@boza_nd_kiko,No silksong no interest,1,0,9/6/2024,2 PM
@chucholongo,Forza horizon 6 plsss,403,21,9/6/2024,2 PM
@hyuga9gonzalo,Inlove xbox,4,1,9/6/2024,2 PM
@luxst96,Fable,1,1,9/6/2024,2 PM
@nolanfromearth,We got all this trash before GTA 6,4,1,9/6/2024,2 PM
@pathtoescape,stop closing studios & find work for the people who's livelihoods you took away for no good reason,0,0,9/6/2024,2 PM
@thechoj,Xbox FTW,0,1,9/6/2024,2 PM
@wegvip,What ?,1,0,9/6/2024,2 PM
@bdawger69,Only like 4 good games,895,89,9/6/2024,3 AM
@sad_boy_jones_spams,War craft actually coming to xbox?,0,0,9/6/2024,3 AM
@808enigma,FABLE FINALLY MAKING A COME BACK,2,0,9/6/2024,3 PM
@aaron302003,New doom game,1,0,9/6/2024,3 PM
@baribravo0,Go back go back go back go back go back go back go back go back please go back to the original,0,0,6/19/2024,3 PM
@iadamsart,All those games and there are only two on that list I like,0,1,9/6/2024,3 PM
@mitch.schulze,"AOM was my childhood, love to see it getting the appreciation it deserves",6,2,9/6/2024,3 PM
@pebbletree,Fable,2,1,9/6/2024,3 PM
@rg.g09,Any going to GP?,0,0,9/6/2024,3 PM
@seb.figari,YOU SAVED GEARS,991,11,9/6/2024,3 PM
@_mnyondatble,Perfect Dark!,8,1,9/6/2024,4 AM
@1lazyeyed_kat,Perfect dark ðŸ‘€,300,10,9/6/2024,4 AM
@brandonb4k3r,It's so boring Deadpool,1,7,9/6/2024,4 AM
@brucey69,What happen to cool cover art,0,0,9/6/2024,4 AM
@marcosdcaldevilla,I just want Avowed,0,0,9/6/2024,4 AM
@marcosdcaldevilla,"Avowed, Fable and Stalker>",0,0,9/6/2024,4 AM
@mohsen_m2m2019,Gears of war,26,2,9/6/2024,4 AM
@mrpyroshark,Doom> everything else,0,0,9/6/2024,4 AM
@oneofyourevilexxes,Xbox showcase>>> PlayStation state of play,8956,154,9/6/2024,4 AM
@turtlemcflurtle,Sod 3 is gonna make me get dumped,0,0,9/6/2024,4 AM
@andresgouts,What amazing event we had. Thanks xbox,9,1,9/6/2024,4 PM
@my_dna_is_dmt,AGE OF MYTHOLOGY,10,1,9/6/2024,4 PM
@sengchanng,Wuchang?,1,0,9/6/2024,4 PM
@aysenyooooo,FABLE YESSSSS,4,0,9/6/2024,5 AM
@carlitosfire10,10/10,74,2,9/6/2024,5 AM
@chriiisvargas,Damm no gta 6,1,0,9/6/2024,5 AM
@pokemontrainertyler,caption would go crazy under a pic of someone's mom,0,0,9/6/2024,5 AM
@santamonicapiers,This looks all remaster trash,0,0,9/6/2024,5 AM
@spawnpoiint,Best show we've seen in a long time,1182,14,9/6/2024,5 AM
@thomasthetomcat73,FABLE REAMAKE BABYYYYYYYYYYYYYYYYYYYYYYYYY,3,0,9/6/2024,5 AM
@_.alejere._23,WHAAAAT A NEW PERFECT DAARK????!?!?,0,0,9/6/2024,5 PM
@_dialectz,@danthaman802 you plain and simply haven’t played snake eater youngster,0,0,6/19/2024,5 PM
@al3x.collins,WoW coming to Xbox?,2,1,9/6/2024,5 PM
