Name,Username,Comments,Date,Hour,Replies,Retweet,Likes,Location,Verified,Blue Verified
1of1,@bigslimeeeee,@Xbox 10/10,6/9/2024,08:51:41 PM,1,0,4,Unknown,false,false
Adam Fletcher,@PezRadar,@Xbox Stacked.,6/9/2024,08:25:34 PM,3,0,298,United States,false,true
Adam Rush,@adamrush15,@Xbox 🔥,6/10/2024,08:09:40 PM,2,0,2,Unknown,false,false
Aircool,@ItsAircool,@Xbox Gears of War let’s go,6/9/2024,09:02:22 PM,1,0,11,United States,false,true
Albumbrella,@TaiyoYozakura,@Xbox @OmnicientWolf Good fucking job.,6/9/2024,08:47:05 PM,1,0,1,Unknown,false,true
Alex (lilchief2007),@lilchief2007,@Xbox WE’RE GONNA EAT SO GOOD ON XBOX,6/9/2024,08:32:32 PM,0,1,2,United States,false,true
Alzea Arafat,@helloalzea,@Xbox Amazing showcase!,6/10/2024,03:25:55 AM,0,0,2,Indonesia,false,true
Ameer,@SynthPotato,"@Xbox That was a 10/10 show, you guys fucking cooked.",6/9/2024,08:45:12 PM,1,0,151,Unknown,false,false
Andre,@AndreLSS91,@Xbox 10/10,6/9/2024,08:23:33 PM,2,0,8,Unknown,false,false
Atari,@atari,"@Xbox Great showcase, all. ❤️",6/9/2024,08:23:02 PM,8,10,656,Unknown,false,false
Casey,@C4SEY85,@Xbox This is why I don’t get enough sleep.,6/9/2024,08:50:16 PM,0,0,2,United States,false,true
ChristroyerXDYT,@ChristroyerXD,"@Xbox W showcase, as expected 👏 💯 absolutely cooked 🔥",6/9/2024,09:24:53 PM,2,0,48,Unknown,false,false
Cory | Thalion,@ThalionFTW,@Xbox Big ‘ol W.,6/9/2024,08:45:09 PM,0,0,1,United States,false,true
CRod ᯅ🇵🇷𝕏,@CharioBro,@Xbox A lot of 2025 .... https://t.co/gThN5zbs4j,6/9/2024,08:25:05 PM,5,0,10,United States,false,true
CryptoMayers,@CryptoMayers,@Xbox Check out the newest and baddest cat on the $SOL block $NOCA ! Even @IAmSteveHarvey owns it !,6/10/2024,12:44:11 AM,0,1,1,United States,false,true
Deck Nine Games,@DeckNineGames,@Xbox What a great showcase! Thanks for having Life is Strange: Double Exposure a part of the mix! 🙌,6/11/2024,03:16:10 AM,3,12,224,Unknown,false,false
doro44 💙,@doro44twitch,@Xbox Huge W,6/9/2024,10:03:12 PM,1,0,22,Unknown,false,true
Drewski Sosa,@drewski_sosa,"@Xbox I'm thirsty for that Snake Eater Delta, I'll be buying that game 3 times you heard?!!! one for XB Series X, one for PS5 and one for PC",6/9/2024,08:46:42 PM,0,0,0,Unknown,false,false
e︎ ︎,@quizure,@Xbox Can't wait for SoD 3,6/22/2024,03:03:05 AM,0,0,0,Unknown,false,true
Eagle,@EagleUS2013,@Xbox All coming to PS5 day one or later. Thank you 👍,6/9/2024,08:24:36 PM,7,0,7,Unknown,false,false
Elden_titan,@TitanElden,@Xbox W showcase,6/9/2024,09:23:35 PM,2,0,10,Unknown,false,false
eli,@4kteli22,@Xbox holy mid,6/9/2024,09:45:51 PM,0,0,0,Unknown,false,true
EQUALS TRUE,@equals_true,@Xbox I'm so ready to play them on my PC 😎,6/10/2024,05:30:01 PM,1,0,0,United States,false,false
George Shonia,@gio_tbilisi,@Xbox I'm waiting to,6/9/2024,10:13:57 PM,0,0,0,Unknown,false,false
