Username,Comments,Likes,Date
@_inkedguy_3,Which of those are actually console exclusive? I have both consoles btw but i just wanna know lol,0,11 days ago
@-_-Stand_up_comedy-_-767,Guys plz song  name  ? ,15,12 days ago
@2Telos,Breathtaking.. ,10,12 days ago
@3soras,The rich program from Microsoft makes me happy. 8 out of 10 )),1,11 days ago
@50H3i1,Xbox came out swinging,4,12 days ago
@7alambek,Xbox who sings the song? ,10,12 days ago
@7Svmurai,We are back baby!!,0,8 days ago 
@a7xgunslinger,Perfect Dark looks soooo good  ,31,12 days ago
@AaikaimanJuega,The showcase was better than this years summer game fest  Good job this time Xbox!!! ,10,12 days ago
@ablez2009,10/10 show. Incredible  ,27,12 days ago
@adamali5534,Best XBOX GAMES SHOWCASE EVER MADE ,0,11 days ago
@Adamkilla9000,OH MY GOD,1,12 days ago
@aldoaku87,"10/10 But cmon, we need more third person games.",0,12 days ago
@alfredopalomo6633,Name song? Please,5,11 days ago
@AliAbidalkareem,Amazing showcase. Congrats Xbox. ,24,12 days ago
@ArticWolfDEV,"FRICKING YEAH, STATE OF DECAY 3!!!",0,11 days ago
@Aspectt10,Big W's ,20,12 days ago
@audenghaley,Perfect Dark and Gears Of War are back babies! ,146,12 days ago
@aureliur,"was pretty good, well done",0,12 days ago
@AviationCal1,9.9/10 Showcase! ,16,12 days ago
@Axliun,Awesome show case on par with e3 honestly,0,11 days ago
@backgroundplaylist,"The best ever, congrats Xbox!!!! ",32,12 days ago
@BananaSizzle,Anyone know the name of the song?,7,11 days ago
@benlarmouth,"Wait, so does this mean the new Blade game will be for all video game formats ? Cuz I did not see 1 Blade promo",1,12 days ago
@BeTeLGeuZeX,Great Showcase!!!  All that was missing in my book was HALO !  an also Forza but they already released recent games so i understand that. But wouldve been nice to see all of Xbox lineup show up,0,12 days ago
@BitBeastCarter,Impressed with the showcase ,0,11 days ago
@Bleriixs,"10/10 showcase, loved it  ",18,12 days ago
@bruta,XBOX WINS,2,12 days ago
@BurgerKing-jm4qy,Great showcase pats on the back to you Xbox,9,12 days ago
@CagoKriko,(edited) I'M love xbox,3,12 days ago
@caneryus.,Why don't you apply mena region pricing to your old games on Steam?,0,11 days ago
@Captain-Chats,10 outa 10 ... xbox are back!,0,12 days ago
@Caralhudo28cm,"Perfect, I Love You XBOX ",0,12 days ago
@CEADGA,"Best showcase ever, mucho loves Xbox and can`t wait.",0,12 days ago
@charless.90,Melhor evento de todos ,3,12 days ago
@christheelen8122,9.5 it was fantastic ,14,12 days ago
@ciscoperez6879,JEEEEEEEEEEZUSSSSSSSSSS!!!!!! Mega hype …. Beyond hype . Absolutely amazing showcase . E-DAY! WTF !!!! So many games to be excited about .,0,11 days ago
@Count_Dankku_42,Xbox brought back E3 vibes with that showcase! ,1,11 days ago
@CPeko-Yu-1723,We can only hope that all the games presented are released finished and do not close any studio,0,12 days ago
