Event,Platform,User,Comments,Likes,Date,Sentiment,Emotion,Most Common Keyword
State of Play,Youtube,@leezeebub,So Concord characters are literally just the guardians of the galaxy lol,100,2 weeks ago,Negative,Fear,Concord
State of Play,Youtube,@GregoryOborne,"Need to start calling these ""State of Decay""",318,2 weeks ago,Negative,Sad,State of Decay
State of Play,Youtube,@Sprunkzz,PlayStation should honestly just stop working on live service games,83,2 weeks ago,Negative,Fear,Playstation
State of Play,Youtube,@danbooke2001,Concord looks exactly like the kind of game I will never play.,35,2 weeks ago,Positive,Happy,Playstation
State of Play,Youtube,@stephenhughes5156,Does Playstation not realise why the PS4 was so successful? How have they fallen so far so fast?,254,2 weeks ago,Negative,Sad,
State of Play,Youtube,@MasonTheYoung,“This one was a waste of my precious remaining time”,210,2 weeks ago,Negative,Angry,Sony
State of Play,Youtube,@SuperMaster000X,Kinda miss the times sony said that single player games was their focus.,11,2 weeks ago,Negative,Sad,Game
State of Play,Youtube,@Yuberich,"Concord cinematic was giving me Guardians of the Galaxy vibes, until they show it’s a 5x5 shooter and all my interest went way :(",67,2 weeks ago,Positive,Happy,
State of Play,Youtube,@wuzimu4688,we just want a great single player games like back in the old days ,21,2 weeks ago,Positive,Happy,
State of Play,Youtube,@bartoszpopczyk6897,Cant wait to watch 3 hour video essey aboud concord death 3 months after launch,58,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@tl_nik0n353,1:36 Firewalk  11:02 GoW Ragnarok PC 12:35 Dynasty Warriors Origins  13:52 Infinity Nikki  15:28 Ballad of Antara 17:20 Behemoth  19:00 Alien: Rogue Incursion  20:06 Marvel Rivals  21:55 Where Winds Meet  23:00 Until Dawn  25:00 Path of Exile 2 27:00 Silent Hill 2 Remake  29:00 Monster Hunter Wilds  31:59 Astro Bot,18,2 weeks ago,Positive,Surprise,
State of Play,Youtube,@JasonBrinkley-ef4zg,"Concord, a game nobody asked for and nobody will play 6 months post launch",21,2 weeks ago,Negative,Fear,Concord
State of Play,Youtube,@iest9290,Gets worse and worse every year,127,2 weeks ago,Negative,Sad,
State of Play,Youtube,@ShinyFind,100% not interested in Concord,23,2 weeks ago,Positive,Happy,
State of Play,Youtube,@tiga8032,Funny how Astrobot is still one the best experiences I had on PS5 to this day.,647,2 weeks ago,Positive,Happy,Sony
State of Play,Youtube,@kavirajpremchand2753,they tried so hard not to say ''we ripped off'' overwatch during the concorde pres.,44,2 weeks ago,Negative,Angry,Game
State of Play,Youtube,@prototypemaster1,I like how the Asian based single-player titles are far more interesting than the multi-player titles.,144,2 weeks ago,Negative,Fear,Disappointed
