Event,Platform,Username,Comments,Likes,Date,Sentiment,Emotion,Most Common Keyword
Xbox Games Showcase,Youtube,@_inkedguy_3,Which of those are actually console exclusive? I have both consoles btw but i just wanna know lol,0,11 days ago,Positive,Happy,Exclusive
Xbox Games Showcase,Youtube,@-_-Stand_up_comedy-_-767,Guys plz song  name  ? ,15,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@2Telos,Breathtaking.. ,10,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@3soras,The rich program from Microsoft makes me happy. 8 out of 10 )),1,11 days ago,Positive,Happy,Microsoft
Xbox Games Showcase,Youtube,@50H3i1,Xbox came out swinging,4,12 days ago,Negative,Fear,Xbox
Xbox Games Showcase,Youtube,@7alambek,Xbox who sings the song? ,10,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@7Svmurai,We are back baby!!,0,8 days ago ,Positive,Happy,
Xbox Games Showcase,Youtube,@a7xgunslinger,Perfect Dark looks soooo good  ,31,12 days ago,Negative,Sad,Perfect Dark
Xbox Games Showcase,Youtube,@AaikaimanJuega,The showcase was better than this years summer game fest  Good job this time Xbox!!! ,10,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@ablez2009,10/10 show. Incredible  ,27,12 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@adamali5534,Best XBOX GAMES SHOWCASE EVER MADE ,0,11 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@Adamkilla9000,OH MY GOD,1,12 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@aldoaku87,"10/10 But cmon, we need more third person games.",0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@alfredopalomo6633,Name song? Please,5,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@AliAbidalkareem,Amazing showcase. Congrats Xbox. ,24,12 days ago,Positive,Surprise,Xbox
Xbox Games Showcase,Youtube,@ArticWolfDEV,"FRICKING YEAH, STATE OF DECAY 3!!!",0,11 days ago,Negative,Sad,State Of Decay 3
Xbox Games Showcase,Youtube,@Aspectt10,Big W's ,20,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@audenghaley,Perfect Dark and Gears Of War are back babies! ,146,12 days ago,Negative,Sad,Gears
Xbox Games Showcase,Youtube,@aureliur,"was pretty good, well done",0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@AviationCal1,9.9/10 Showcase! ,16,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Axliun,Awesome show case on par with e3 honestly,0,11 days ago,Positive,Surprise,
Xbox Games Showcase,Youtube,@backgroundplaylist,"The best ever, congrats Xbox!!!! ",32,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@BananaSizzle,Anyone know the name of the song?,7,11 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@benlarmouth,"Wait, so does this mean the new Blade game will be for all video game formats ? Cuz I did not see 1 Blade promo",1,12 days ago,Positive,Surprise,Game
Xbox Games Showcase,Youtube,@BeTeLGeuZeX,Great Showcase!!!  All that was missing in my book was HALO !  an also Forza but they already released recent games so i understand that. But wouldve been nice to see all of Xbox lineup show up,0,12 days ago,Positive,Happy,Halo
Xbox Games Showcase,Youtube,@BitBeastCarter,Impressed with the showcase ,0,11 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@Bleriixs,"10/10 showcase, loved it  ",18,12 days ago,Positive,Happy,Showcase
Xbox Games Showcase,Youtube,@bruta,XBOX WINS,2,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@BurgerKing-jm4qy,Great showcase pats on the back to you Xbox,9,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@CagoKriko,(edited) I'M love xbox,3,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@caneryus.,Why don't you apply mena region pricing to your old games on Steam?,0,11 days ago,Neutral,Angry,
Xbox Games Showcase,Youtube,@Captain-Chats,10 outa 10 ... xbox are back!,0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@Caralhudo28cm,"Perfect, I Love You XBOX ",0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@CEADGA,"Best showcase ever, mucho loves Xbox and can`t wait.",0,12 days ago,Positive,Happy,Xbox
Xbox Games Showcase,Youtube,@charless.90,Melhor evento de todos ,3,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@christheelen8122,9.5 it was fantastic ,14,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@ciscoperez6879,JEEEEEEEEEEZUSSSSSSSSSS!!!!!! Mega hype …. Beyond hype . Absolutely amazing showcase . E-DAY! WTF !!!! So many games to be excited about .,0,11 days ago,Negative,Sad,Showcase
Xbox Games Showcase,Youtube,@Count_Dankku_42,Xbox brought back E3 vibes with that showcase! ,1,11 days ago,Negative,Sad,Xbox
Xbox Games Showcase,Youtube,@CPeko-Yu-1723,We can only hope that all the games presented are released finished and do not close any studio,0,12 days ago,Positive,Happy,
Xbox Games Showcase,Youtube,@creta367,"Got more than my expectations , can't wait",0,11 days ago,Neutral,Angry,
Xbox Games Showcase,Youtube,@criticalthinking7525,Amazing showcase. Im shocked on how good it was. 10/10,4,11 days ago,Positive,Surprise,Showcase
Xbox Games Showcase,Youtube,@cutterlmao,Genuinely excited for gaming this year,2,11 days ago,Negative,Sad,
