Username;Comment;Likes;Sub Comments;Date;Hour
@leafs_fan_1990;XBOX BETTER;4;5;31/05/2024;2 AM
@arman.modiri;Wow 😒;6;0;31/05/2024;2 AM
@olivier.wmv;Carried that mid ass showcase;45;5;31/05/2024;2 AM
@kanye_de_soliyork_69;No bloodborne for pc 😢?;13;0;31/05/2024;2 AM
@chiquinho_couto;😍😍😍;4;0;31/05/2024;2 AM
@the.damnmexican;how the fuck was the sequel to a demo the best thing here;1307;71;31/05/2024;2 AM
@sania.brina844;❤️;5;0;31/05/2024;2 AM
@sania.brina844;😍;4;0;31/05/2024;2 AM
@neshasvibes;Love it!;5;0;31/05/2024;2 AM
@coriander_rice;At least there was Astro Bot!;188;0;31/05/2024;2 AM
@tlou2photography;I heard this was the worst state of play in the history of state of plays (I’m so hyped for SH2);44;3;31/05/2024;2 AM
@jax.teller__;Until down?;9;0;31/05/2024;2 AM
@_angelvaldez_31;In short words, nothing interesting;102;12;31/05/2024;2 AM
@jerry.g__;Still milking until dawn Jesus Christ, make the silent hill game off of P.T;78;1;31/05/2024;2 AM
@leegutierrez__morgan;"Things are kinda tough atm especially this time of the year so as a way of helping out those facing challenges, I'm gifting 5 grand to anyone who message me with ""ALIVE"" let's spread love and end inhumanity❤️";5;0;31/05/2024;2 AM
@north1paw;Astro Bot sequel? You son of a bitch I’m in!;3;0;31/05/2024;2 AM
@fate_wielder;Is anyone else confused that a mobile dressing game that people barely play got turned into a console game?;4;2;31/05/2024;2 AM
@they.luv.zayy;Dawg we don’t need another damn Astro game;20;21;31/05/2024;2 AM
@kayleneihrig911;Beauty..;4;0;31/05/2024;2 AM
@jairopost;Until Down🔥🔥;4;0;31/05/2024;2 AM
@oliveiramatiaspaulo;Best thing about this horrible event;4;0;31/05/2024;2 AM
@oscarwinnerseanpenn;Ya'll remaking the wrong games!! Ain't nobody nibblin for that!!;5;0;31/05/2024;2 AM
@fe1ipe_vieira;Where the real ones sony ?;4;0;31/05/2024;2 AM
@_c.castillo_;So when are we seeing something that is worth getting excited for?;4;0;31/05/2024;2 AM
@riley.radio;Nothing worth anyone’s time except monster hunter. Maybe do a showcase and announce some first party games, there are none outside of Wolverine announced;5;6;31/05/2024;3 AM
@cris_torres_x;Stop bringing exclusives to PC;175;23;31/05/2024;3 AM
@revenge_of_sam_the_man;Was that Cole Macgrath on the left side at the part where all the avatars surround ASTRO?;4;0;31/05/2024;3 AM
@josh.talbot_;So until dawn and SH2 are the only remastered (rebuilt), could they both sell for like $70 or cheaper, at least?;4;0;31/05/2024;3 AM
@mr.tacituskilgore45;19th SEPTEMBER ❤️;5;0;31/05/2024;3 AM
