"Comment","Likes","Date"
"Showcase was better than i thought","782","11 days ago"
"Easily has to be one of the best shows Xbox has ever put together","600","11 days ago"
"GEARS OF WAR E-DAY","241","11 days ago"
"Xbox delivered this year man.","140","11 days ago"
"Perfect Dark and Gears Of War are back babies!","145","11 days ago"
"9.5/10","340","11 days ago"
"Best showcase in years hands down","115","11 days ago"
"Best showcase ever.","176","11 days ago"
"XboX finally using the Infinity Stones.","27","10 days ago"
"Boy they delivered, great job XBOX ","107","11 days ago"
"10/10 Congrat XBOX !!!!!","191","11 days ago (edited)"
"10/10! Xbox Showcase 2024","56","11 days ago"
"Best showcase ever ","160","11 days ago"
"One of the best showcases I’ve seen from Xbox️","35","11 days ago"
"The best ever, congrats Xbox!!!!","32","11 days ago"
"Perfect dark and gears had me and my brother yelling the title as soon as we saw ""Carrington"" and the coalition symbol on the tv. ","150","11 days ago"
"WOOOOOO!!! STATE OF DECAY 3!!!!!","89","11 days ago"
"Definitely was better than PlayStations event","146","11 days ago"
"Amazing showcase. Congrats Xbox.","24","11 days ago"
"3 new Xbox consoles With an awesome showcase?! Geez Xbox you're making me proud.","50","10 days ago"
"I love you xbox","45","11 days ago"
"Music ?","16","10 days ago"
"Great showcase ","53","11 days ago"
"Perfect Dark looks soooo good ","31","11 days ago"
"Now play it everywhere on repeat for the next year. I want to see this ad on Hulu, YouTube, local billboards, and more ","14","11 days ago"
"10/10 showcase, loved it ","18","11 days ago"
"10/10 show. Incredible ","27","11 days ago"
"You guys killed it!!!!! best showcase ever, hands down","21","11 days ago"
"The showcase was better than this years summer game fest  Good job this time Xbox!!!","10","11 days ago"
"9.5 it was fantastic","14","11 days ago"
"Song?","35","11 days ago"
"Anyone know the name of the song?","7","10 days ago"
"Great showcase pats on the back to you Xbox","9","11 days ago"
"CONGRATULATIONS this time, Microsoft! ","6","10 days ago"
"YOU RIPPED AND TEARED THROUGH THIS ONE Xbox big W ","6","11 days ago"
"You know what?  Fair play MS.  That was solid.  That perfect dark and Gears: E-Day trailer.... boiiiiiii","14","11 days ago (edited)"
"Congrats XBOX, so so so good. Best showcase ever. Make it a 2 night event next year!","5","11 days ago"
"9.9/10 Showcase!","16","11 days ago"
"Big W's","20","11 days ago"
"Well that was epic Win! 9.6/10!","13","11 days ago (edited)"
"Xbox cooked","51","11 days ago"
"We always believe in Xbox future ","5","10 days ago"
"This was the best show microsoft ever put together and i didnt thought thats possible anymore lol","6","11 days ago"
"The Best Showcase This Year!","5","10 days ago"
"Thanks for using our song! <3","3","8 days ago"
"100000/10, incredible, goosebumps","6","11 days ago"
"Song name?  Edit: Found it; SWWARMS ft Brooke Williams - Are We Dreaming","5","10 days ago (edited)"
"Breathtaking..","10","11 days ago"
"Song ID?","20","11 days ago"
"10/10","17","11 days ago"
"The best presentation in years. The other years were so bad, full of cinematics, i dont play cinematics. This time we had gameplays and dates. 33 expeditions and dragon age were my favorites. Very happy with all im going to play on my xbox series x.","4","10 days ago"
"Goosebumps ","7","11 days ago"
"Xbox who sings the song?","10","10 days ago"
"Guys plz song  name  ?","15","11 days ago"
"The showcase that saved Xbox.","7","10 days ago"
"Amazing showcase. Im shocked on how good it was. 10/10","3","10 days ago"
"So hyped for Fable!","3","10 days ago"
"Song??","8","11 days ago"
"Best showcase ever, hyped af ️","6","10 days ago"
"Great showcase, I want to see more of South of Midnight. Greetings from Lima, Peru.","1","10 days ago"
"Genuinely excited for gaming this year","2","10 days ago"
"Thank you, phil Spencer! We held the line And for what we saw, it was worth the Wait. THANKS XBOX  11/10","3","10 days ago"
"Name of this song???","6","9 days ago"
"12/10","8","11 days ago"
"silksong where?","12","11 days ago"
"This showcase was huge W for Xbox","2","10 days ago"
